CTOTALT,cipcode,awlevel,year
107.0,1.0101,1.0,87
99.0,1.0101,1.0,88
168.0,1.0101,1.0,89
108.0,1.0101,1.0,90
35.0,1.0101,1.0,91
54.0,1.0101,1.0,92
87.0,1.0101,1.0,93
90.0,1.0101,1.0,94
160.0,1.0101,2.0,87
145.0,1.0101,2.0,88
178.0,1.0101,2.0,89
123.0,1.0101,2.0,90
222.0,1.0101,2.0,91
208.0,1.0101,2.0,92
159.0,1.0101,2.0,93
106.0,1.0101,2.0,94
445.0,1.0101,3.0,87
388.0,1.0101,3.0,88
367.0,1.0101,3.0,89
400.0,1.0101,3.0,90
400.0,1.0101,3.0,91
483.0,1.0101,3.0,92
439.0,1.0101,3.0,93
520.0,1.0101,3.0,94
62.0,1.0101,4.0,87
25.0,1.0101,4.0,88
36.0,1.0101,4.0,89
254.0,1.0101,4.0,90
46.0,1.0101,4.0,91
10.0,1.0101,4.0,92
1.0,1.0101,4.0,93
424.0,1.0101,5.0,87
423.0,1.0101,5.0,88
339.0,1.0101,5.0,89
337.0,1.0101,5.0,90
289.0,1.0101,5.0,91
692.0,1.0101,5.0,92
789.0,1.0101,5.0,93
816.0,1.0101,5.0,94
10.0,1.0101,6.0,87
12.0,1.0101,6.0,88
51.0,1.0101,7.0,87
38.0,1.0101,7.0,88
27.0,1.0101,7.0,89
49.0,1.0101,7.0,90
45.0,1.0101,7.0,91
56.0,1.0101,7.0,92
48.0,1.0101,7.0,93
54.0,1.0101,7.0,94
4.0,1.0101,9.0,87
1.0,1.0101,9.0,88
1.0,1.0101,9.0,89
5.0,1.0101,9.0,90
3.0,1.0101,9.0,91
23.0,1.0102,1.0,87
39.0,1.0102,1.0,88
26.0,1.0102,1.0,89
13.0,1.0102,1.0,90
9.0,1.0102,1.0,91
23.0,1.0102,1.0,92
22.0,1.0102,1.0,93
17.0,1.0102,2.0,87
15.0,1.0102,2.0,88
6.0,1.0102,2.0,89
11.0,1.0102,2.0,90
18.0,1.0102,2.0,91
15.0,1.0102,2.0,92
7.0,1.0102,2.0,93
39.0,1.0102,2.0,94
164.0,1.0102,3.0,87
170.0,1.0102,3.0,88
179.0,1.0102,3.0,89
140.0,1.0102,3.0,90
125.0,1.0102,3.0,91
119.0,1.0102,3.0,92
128.0,1.0102,3.0,93
157.0,1.0102,3.0,94
1.0,1.0102,4.0,87
2.0,1.0102,4.0,88
4.0,1.0102,4.0,89
1.0,1.0102,4.0,90
11.0,1.0102,4.0,91
2.0,1.0102,4.0,92
1.0,1.0102,4.0,93
5.0,1.0102,4.0,94
1361.0,1.0102,5.0,87
1235.0,1.0102,5.0,88
1222.0,1.0102,5.0,89
1103.0,1.0102,5.0,90
1072.0,1.0102,5.0,91
1014.0,1.0102,5.0,92
869.0,1.0102,5.0,93
1010.0,1.0102,5.0,94
24.0,1.0102,7.0,87
46.0,1.0102,7.0,88
24.0,1.0102,7.0,89
28.0,1.0102,7.0,90
21.0,1.0102,7.0,91
18.0,1.0102,7.0,92
31.0,1.0102,7.0,93
21.0,1.0102,7.0,94
2.0,1.0102,9.0,93
2.0,1.0103,2.0,94
2.0,1.0103,3.0,89
104.0,1.0103,3.0,90
3.0,1.0103,3.0,91
5.0,1.0103,3.0,92
13.0,1.0103,3.0,93
4.0,1.0103,3.0,94
1.0,1.0103,4.0,90
1.0,1.0103,4.0,92
1983.0,1.0103,5.0,87
1760.0,1.0103,5.0,88
1751.0,1.0103,5.0,89
1605.0,1.0103,5.0,90
1743.0,1.0103,5.0,91
1489.0,1.0103,5.0,92
1568.0,1.0103,5.0,93
1375.0,1.0103,5.0,94
31.0,1.0103,6.0,89
35.0,1.0103,6.0,91
8.0,1.0103,6.0,93
9.0,1.0103,6.0,94
456.0,1.0103,7.0,87
474.0,1.0103,7.0,88
456.0,1.0103,7.0,89
478.0,1.0103,7.0,90
452.0,1.0103,7.0,91
450.0,1.0103,7.0,92
429.0,1.0103,7.0,93
456.0,1.0103,7.0,94
134.0,1.0103,9.0,87
163.0,1.0103,9.0,88
159.0,1.0103,9.0,89
150.0,1.0103,9.0,90
165.0,1.0103,9.0,91
139.0,1.0103,9.0,92
144.0,1.0103,9.0,93
166.0,1.0103,9.0,94
330.0,1.0104,1.0,87
488.0,1.0104,1.0,88
523.0,1.0104,1.0,89
337.0,1.0104,1.0,90
198.0,1.0104,1.0,91
287.0,1.0104,1.0,92
302.0,1.0104,1.0,93
231.0,1.0104,1.0,94
205.0,1.0104,2.0,87
174.0,1.0104,2.0,88
96.0,1.0104,2.0,89
74.0,1.0104,2.0,90
129.0,1.0104,2.0,91
169.0,1.0104,2.0,92
114.0,1.0104,2.0,93
152.0,1.0104,2.0,94
170.0,1.0104,3.0,87
180.0,1.0104,3.0,88
125.0,1.0104,3.0,89
115.0,1.0104,3.0,90
99.0,1.0104,3.0,91
119.0,1.0104,3.0,92
120.0,1.0104,3.0,93
118.0,1.0104,3.0,94
133.0,1.0104,4.0,87
30.0,1.0104,4.0,88
106.0,1.0104,4.0,89
119.0,1.0104,4.0,90
136.0,1.0104,4.0,91
3.0,1.0104,4.0,92
0.0,1.0104,4.0,93
1.0,1.0104,4.0,94
