codevalue,valuelabel
99,Grand total
1,"Agriculture, General"
1.0101,"Agricultural Business and Management, General"
1.0102,Agribusiness/Agricultural Business Operations
1.0103,Agricultural Economics
1.0104,Farm/Farm and Ranch Management
1.0105,Agricultural/Farm Supplies Retailing and Wholesaling
1.0106,Agricultural Business Technology
1.0199,"Agricultural Business and Management, Other"
1.0201,"Agricultural Mechanization, General"
1.0204,Agricultural Power Machinery Operation
1.0205,Agricultural Mechanics and Equipment/Machine Technology
1.0299,"Agricultural Mechanization, Other"
1.0301,"Agricultural Production Operations, General"
1.0302,Animal/Livestock Husbandry and Production
1.0303,Aquaculture
1.0304,Crop Production
1.0306,Dairy Husbandry and Production
1.0307,Horse Husbandry/Equine Science and Management
1.0308,Agroecology and Sustainable Agriculture
1.0309,Viticulture and Enology
1.0399,"Agricultural Production Operations, Other"
1.0401,Agricultural and Food Products Processing
1.0504,Dog/Pet/Animal Grooming
1.0505,Animal Training
1.0507,Equestrian/Equine Studies
1.0508,Taxidermy/Taxidermist
1.0599,"Agricultural and Domestic Animal Services, Other"
1.0601,"Applied Horticulture/Horticulture Operations, General"
1.0603,Ornamental Horticulture
1.0604,Greenhouse Operations and Management
1.0605,Landscaping and Groundskeeping
1.0606,Plant Nursery Operations and Management
1.0607,Turf and Turfgrass Management
1.0608,Floriculture/Floristry Operations and Management
1.0699,"Applied Horticulture/Horticultural Business Services, Other"
1.0701,International Agriculture
1.0801,Agricultural and Extension Education Services
1.0802,Agricultural Communication/Journalism
1.0899,"Agricultural Public Services, Other"
1.0901,"Animal Sciences, General"
1.0902,Agricultural Animal Breeding
1.0903,Animal Health
1.0904,Animal Nutrition
1.0905,Dairy Science
1.0906,Livestock Management
1.0907,Poultry Science
1.0999,"Animal Sciences, Other"
1.1001,Food Science
1.1002,Food Technology and Processing
1.1099,"Food Science and Technology, Other"
1.1101,"Plant Sciences, General"
1.1102,Agronomy and Crop Science
1.1103,Horticultural Science
1.1104,Agricultural and Horticultural Plant Breeding
1.1105,Plant Protection and Integrated Pest Management
1.1106,Range Science and Management
1.1199,"Plant Sciences, Other"
1.1201,"Soil Science and Agronomy, General"
1.1202,Soil Chemistry and Physics
1.1299,"Soil Sciences, Other"
1.9999,"Agriculture, Agriculture Operations and Related Sciences, Other"
3.0101,"Natural Resources/Conservation, General"
3.0103,Environmental Studies
3.0104,Environmental Science
3.0199,"Natural Resources Conservation and Research, Other"
3.0201,Natural Resources Management and Policy
3.0204,Natural Resource Economics
3.0205,"Water, Wetlands, and Marine Resources Management"
3.0206,Land Use Planning and Management/Development
3.0207,Natural Resource Recreation and Tourism
3.0208,Natural Resources Law Enforcement and Protective Services
3.0299,"Natural Resources Management and Policy, Other"
3.0301,Fishing and Fisheries Sciences and Management
3.0501,"Forestry, General"
3.0502,Forest Sciences and Biology
3.0506,Forest Management/Forest Resources Management
3.0508,Urban Forestry
3.0509,Wood Science and Wood Products/Pulp and Paper Technology
3.051,Forest Resources Production and Management
3.0511,Forest Technology/Technician
3.0599,"Forestry, Other"
3.0601,"Wildlife, Fish and Wildlands Science and Management"
3.9999,"Natural Resources and Conservation, Other"
4.0201,Architecture
4.0301,"City/Urban, Community and Regional Planning"
4.0401,Environmental Design/Architecture
4.0501,Interior Architecture
4.0601,Landscape Architecture
4.0801,"Architectural History and Criticism, General"
4.0901,Architectural Technology/Technician
4.0902,Architectural and Building Sciences/Technology
4.0999,"Architectural Sciences and Technology, Other"
