cipName,cipCode,codeFamily,my_cat1,my_cat2
"Agriculture, General",1,1,Agriculture,Agriculture
"Agricultural Business and Management, General",1.0101,1,Agriculture,Agriculture
Agribusiness/Agricultural Business Operations,1.0102,1,Agriculture,Agriculture
Agricultural Economics,1.0103,1,Agriculture,Agriculture
Farm/Farm and Ranch Management,1.0104,1,Agriculture,Agriculture
Agricultural/Farm Supplies Retailing and Wholesaling,1.0105,1,Agriculture,Agriculture
Agricultural Business Technology,1.0106,1,Agriculture,Agriculture
"Agricultural Business and Management, Other",1.0199,1,Agriculture,Agriculture
"Agricultural Mechanization, General",1.0201,1,Agriculture,Agriculture
"Agricultural Mechanics, Construction and Maintenance Skills",1.0203,1,Agriculture,Agriculture
Agricultural Power Machinery Operation,1.0204,1,Agriculture,Agriculture
Agricultural Mechanics and Equipment/Machine Technology,1.0205,1,Agriculture,Agriculture
Soil and Water Mechnical Practices,1.0206,1,Agriculture,Agriculture
"Agricultural Mechanization, Other",1.0299,1,Agriculture,Agriculture
"Agricultural Production Operations, General",1.0301,1,Agriculture,Agriculture
Animal/Livestock Husbandry and Production,1.0302,1,Agriculture,Agriculture
Aquaculture,1.0303,1,Agriculture,Agriculture
Crop Production,1.0304,1,Agriculture,Agriculture
Game Farm Management,1.0305,1,Agriculture,Agriculture
Dairy Husbandry and Production,1.0306,1,Agriculture,Agriculture
Horse Husbandry/Equine Science and Management,1.0307,1,Agriculture,Agriculture
Agroecology and Sustainable Agriculture,1.0308,1,Agriculture,Agriculture
Viticulture and Enology,1.0309,1,Agriculture,Agriculture
"Agricultural Production Operations, Other",1.0399,1,Agriculture,Agriculture
Agricultural and Food Products Processing,1.0401,1,Agriculture,Agriculture
Food Products,1.0402,1,Agriculture,Agriculture
"Agricultural Products and Processing, Other",1.0499,1,Agriculture,Agriculture
Agricultural Supplies Retailing and Wholesaling,1.0501,1,Agriculture,Agriculture
Agricultural Services,1.0502,1,Agriculture,Agriculture
Agricultural Supplies Marketing,1.0503,1,Agriculture,Agriculture
Dog/Pet/Animal Grooming,1.0504,1,Agriculture,Agriculture
Animal Training,1.0505,1,Agriculture,Agriculture
Horseshoeing,1.0506,1,Agriculture,Agriculture
Equestrian/Equine Studies,1.0507,1,Agriculture,Agriculture
Taxidermy/Taxidermist,1.0508,1,Agriculture,Agriculture
"Agricultural and Domestic Animal Services, Other",1.0599,1,Agriculture,Agriculture
"Applied Horticulture/Horticulture Operations, General",1.0601,1,Agriculture,Agriculture
Arboriculture,1.0602,1,Agriculture,Agriculture
Ornamental Horticulture,1.0603,1,Agriculture,Agriculture
Greenhouse Operations and Management,1.0604,1,Agriculture,Agriculture
Landscaping and Groundskeeping,1.0605,1,Agriculture,Agriculture
Plant Nursery Operations and Management,1.0606,1,Agriculture,Agriculture
Turf and Turfgrass Management,1.0607,1,Agriculture,Agriculture
Floriculture/Floristry Operations and Management,1.0608,1,Agriculture,Agriculture
"Applied Horticulture/Horticultural Business Services, Other",1.0699,1,Agriculture,Agriculture
International Agriculture,1.0701,1,Agriculture,Agriculture
Agricultural and Extension Education Services,1.0801,1,Agriculture,Agriculture
Agricultural Communication/Journalism,1.0802,1,Agriculture,Agriculture
"Agricultural Public Services, Other",1.0899,1,Agriculture,Agriculture
"Animal Sciences, General",1.0901,1,Agriculture,Agriculture
Agricultural Animal Breeding,1.0902,1,Agriculture,Agriculture
Animal Health,1.0903,1,Agriculture,Agriculture
Animal Nutrition,1.0904,1,Agriculture,Agriculture
Dairy Science,1.0905,1,Agriculture,Agriculture
Livestock Management,1.0906,1,Agriculture,Agriculture
Poultry Science,1.0907,1,Agriculture,Agriculture
"Animal Sciences, Other",1.0999,1,Agriculture,Agriculture
Food Science,1.1001,1,Agriculture,Agriculture
Food Technology and Processing,1.1002,1,Agriculture,Agriculture
"Food Science and Technology, Other",1.1099,1,Agriculture,Agriculture
"Plant Sciences, General",1.1101,1,Agriculture,Agriculture
