year2,Aeronautics and Aviation,Agriculture,Agriculture - Science Focus,Architecture,Being Religious,Biology,Business Accounting,Business Operations,Chidren and Homemaking,Communications,Communications Tech,Computer Science,Construction Trades,Criminology,Education,Engineering,Engineering Technology,English,Equipment Operation,Family and Home Ec,Fashion,Health Services and Health Sciences,Healthcare,History,International and Group Studies,LAS,Language,Law,Library Science,Management,Marketing,Math,Mechanics and Repairers,Military,Military Operations,Misc. Certifications,More Healthcare,Multi-disciplinary,Natural Resources and Environmental Sciences,Other Services,Philosophy+Religion,Physical Sciences,Precision Production Trades,Psychology,Public Affairs,"Recreation, Sports, and Tourism",Science Technologies/Technicians,Social Science,Visual and Performing Arts
1980,20571.0,43341.0,1384.0,48292.0,1900.0,23414.0,78186.0,1976.0,3779.0,50753.0,17262.0,20262.0,,29571.0,19609.0,29075.0,34914.0,4700.0,,8251.0,,33073.0,4253.0,,125203.0,,1391.0,46747.0,,2231.0,136429.0,10587.0,,,,18875.0,8456.0,6631.0,1654.0,,3716.0,15410.0,,41131.0,1991.0,5753.0,,37541.0,1939.0
1984,2342.0,8318.0,1667.0,41377.0,5730.0,21034.0,174122.0,9375.0,3876.0,24758.0,22835.0,35845.0,252.0,13562.0,67914.0,72930.0,42147.0,9495.0,131.0,15890.0,3212.0,14469.0,13278.0,26.0,969.0,218.0,1750.0,51293.0,19637.0,68817.0,36219.0,12302.0,20.0,195.0,,,46020.0,20106.0,1785.0,51.0,6468.0,19306.0,272.0,39919.0,3500.0,4756.0,163.0,26789.0,21173.0
1985,2488.0,8028.0,1500.0,41380.0,5789.0,20362.0,179535.0,10696.0,3904.0,26109.0,21323.0,41797.0,285.0,13327.0,65058.0,74075.0,42444.0,9580.0,248.0,15064.0,3205.0,13414.0,14075.0,23.0,1083.0,144.0,1737.0,51585.0,20095.0,66655.0,34710.0,14048.0,99.0,298.0,1.0,,45820.0,18765.0,1768.0,100.0,6434.0,19633.0,275.0,39773.0,3541.0,4610.0,135.0,25384.0,20444.0
1986,2384.0,7745.0,1369.0,41011.0,5341.0,20694.0,184950.0,10871.0,3487.0,26956.0,20408.0,44865.0,184.0,13699.0,65903.0,73229.0,43904.0,10104.0,284.0,13570.0,3086.0,13284.0,13609.0,16.0,1319.0,143.0,1739.0,53182.0,20305.0,67362.0,32624.0,15034.0,148.0,256.0,,,46517.0,18492.0,1727.0,146.0,6272.0,19236.0,298.0,40556.0,3749.0,4443.0,121.0,25585.0,19974.0
1987,1687.0,9650.0,2612.0,8982.0,6184.0,39073.0,236724.0,4199.0,932.0,44243.0,1441.0,39958.0,27.0,13024.0,89999.0,74453.0,19147.0,36098.0,,13969.0,,,13061.0,,3432.0,21501.0,11355.0,1187.0,19.0,,4292.0,16515.0,187.0,383.0,1.0,189.0,51635.0,16466.0,2820.0,,6034.0,20163.0,423.0,43225.0,12807.0,4107.0,98.0,96803.0,35916.0
1988,1716.0,8893.0,2408.0,8654.0,5929.0,37688.0,238485.0,3958.0,1137.0,45682.0,1329.0,34901.0,47.0,13467.0,94035.0,70245.0,19124.0,38517.0,,13621.0,,,12261.0,,3615.0,21915.0,11133.0,1309.0,18.0,,4986.0,15981.0,197.0,349.0,,165.0,48922.0,21633.0,3030.0,,6029.0,17820.0,494.0,45386.0,12813.0,4081.0,112.0,100753.0,36385.0
1989,1843.0,8435.0,2294.0,9268.0,5707.0,36949.0,241971.0,3646.0,1173.0,47711.0,1243.0,30968.0,30.0,14774.0,99699.0,67043.0,18858.0,42233.0,,13494.0,,,12764.0,,4107.0,23580.0,11984.0,2351.0,9.0,,5261.0,15314.0,197.0,250.0,169.0,251.0,47401.0,23692.0,2832.0,,6472.0,17336.0,512.0,48959.0,13724.0,4171.0,67.0,108252.0,37541.0
1990,2174.0,8071.0,2156.0,9451.0,5673.0,38073.0,244756.0,3467.0,1139.0,50491.0,1231.0,27554.0,19.0,15483.0,107649.0,64421.0,17796.0,47301.0,,13818.0,,,12692.0,,4615.0,25318.0,12749.0,1967.0,11.0,,5457.0,14583.0,202.0,256.0,161.0,263.0,46989.0,24761.0,2771.0,,6927.0,16139.0,526.0,54247.0,14510.0,4384.0,117.0,118378.0,39387.0
1991,2395.0,8030.0,2076.0,9867.0,5346.0,40351.0,245985.0,3210.0,1160.0,52018.0,1149.0,25411.0,24.0,17005.0,113296.0,62229.0,17145.0,51570.0,,14226.0,,,12692.0,,4886.0,26811.0,13496.0,1767.0,7.0,,5827.0,14784.0,200.0,273.0,145.0,279.0,47823.0,38450.0,3101.0,,7444.0,16408.0,533.0,58895.0,14875.0,4062.0,115.0,125494.0,41674.0
1992,3617.0,8440.0,2110.0,8878.0,5483.0,43862.0,50571.0,,672.0,54666.0,775.0,24866.0,67.0,19069.0,110549.0,62357.0,16339.0,54311.0,,14228.0,,61472.0,,,5371.0,32334.0,14670.0,2189.0,97.0,203536.0,7756.0,14893.0,78.0,,184.0,283.0,1421.0,46414.0,4649.0,,7581.0,17078.0,390.0,64007.0,16316.0,8446.0,97.0,134567.0,46867.0
